"Date","Price","Open","High","Low","Vol.","Change %"
"26/04/2020","0.04396","0.03311","0.04693","0.03311","","32.45%"
"19/04/2020","0.03319","0.03413","0.03425","0.03030","","-2.75%"
"12/04/2020","0.03413","0.03268","0.03480","0.03086","","4.05%"
"05/04/2020","0.03280","0.03357","0.03792","0.03190","","-2.29%"
"29/03/2020","0.03357","0.03095","0.03450","0.02998","","8.47%"
"22/03/2020","0.03095","0.03720","0.03843","0.02943","","-16.94%"
"15/03/2020","0.03726","0.03998","0.04477","0.02905","","-6.24%"
"08/03/2020","0.03974","0.05588","0.06336","0.01800","","-29.17%"
"01/03/2020","0.05611","0.03379","0.06459","0.03321","","64.55%"
"23/02/2020","0.03410","0.04522","0.04530","0.02961","","-24.59%"
"16/02/2020","0.04522","0.04801","0.06046","0.03900","","-5.81%"
"09/02/2020","0.04801","0.01867","0.08240","0.01797","","159.37%"
"02/02/2020","0.01851","0.01340","0.02380","0.01275","","38.44%"
"26/01/2020","0.01337","0.01207","0.01380","0.01122","","10.68%"
"19/01/2020","0.01208","0.01190","0.01260","0.01015","","1.51%"
"12/01/2020","0.01190","0.01131","0.01217","0.01007","","5.22%"
"05/01/2020","0.01131","0.01111","0.01258","0.01004","","1.80%"
